,estantevirtual,submarino,saraiva,livrariadavila,livrariascuritiba,travessa,livrariacultura,amazon,magazineluiza
216,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
217,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
218,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
219,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
220,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative']
221,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
222,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
223,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
224,['positive'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
225,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
226,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
227,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
228,['negative'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
229,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
230,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
231,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
232,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
233,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
234,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative']
235,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
236,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['positive'],['negative'],['negative']
237,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
238,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
239,['positive'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
240,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
241,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
242,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
243,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
244,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
245,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
246,['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative'],['negative']
247,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
248,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
249,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
